TabTemplateID,TabName,ControlID,ClassName,Caption,StyleHex,ExStyleHex,Left,Top,Width,Height,ParentControlID,TabOrder,SemanticLabel
251,"Weather",1062,"Button","Enable this type of data","50010003","00000004",11,13,140,16,0,1,"Priority:"
251,"Weather",-1,"Static","Priority:","50020000","00000004",374,13,38,13,0,2,"Priority:"
251,"Weather",2028,"Edit","50","50010080","00000204",419,11,31,21,0,3,"Priority:"
251,"Weather",2029,"msctls_updown32","","50000036","00000004",448,11,18,21,0,4,"Priority:"
251,"Weather",2030,"Button","Override","50010003","00000004",510,13,66,16,0,5,"Priority:"
251,"Weather",2033,"SysListView32","","5001020D","00000204",11,41,182,174,0,6,""
251,"Weather",0,"SysHeader32","","500000C2","00000000",13,43,178,24,2033,7,"Weather Type"
251,"Weather",1020,"ComboBox","DefaultWeather","50010303","00000004",222,63,149,21,0,8,"Weather Type"
251,"Weather",-1,"Static","Weather Type","50020000","00000004",225,44,71,13,0,9,"Weather Type"
251,"Weather",1235,"Button","Add","50010000","00000004",387,63,47,21,0,10,""
251,"Weather",9403,"Button","Dump Control Map","50010001","00000000",11,13,118,22,0,11,"Priority:"
